quarter_start,reporting_period,reporting_level,entity,lhd,district_type,peer_group,triage_category,pct_on_time
2010-01-01,Jan-Mar 2010,Hospital,Canterbury,Sydney,Metropolitan,Major,T2: Emergency,65.3
2010-01-01,Jan-Mar 2010,Hospital,Canterbury,Sydney,Metropolitan,Major,T3: Urgent,57.1
2010-01-01,Jan-Mar 2010,Hospital,Canterbury,Sydney,Metropolitan,Major,T4: Semi-urgent,63.6
2010-01-01,Jan-Mar 2010,Hospital,Canterbury,Sydney,Metropolitan,Major,T5: Non-urgent,88.0
2010-01-01,Jan-Mar 2010,Hospital,Cessnock,Hunter New England,Regional,District group 2,T2: Emergency,80.0
2010-01-01,Jan-Mar 2010,Hospital,Cessnock,Hunter New England,Regional,District group 2,T3: Urgent,74.8
2010-01-01,Jan-Mar 2010,Hospital,Cessnock,Hunter New England,Regional,District group 2,T4: Semi-urgent,80.7
2010-01-01,Jan-Mar 2010,Hospital,Cessnock,Hunter New England,Regional,District group 2,T5: Non-urgent,97.0
2010-01-01,Jan-Mar 2010,Hospital,Children's at Westmead,Sydney Children's Hospitals Network,Specialty network,Paediatric specialist,T2: Emergency,100.0
2010-01-01,Jan-Mar 2010,Hospital,Children's at Westmead,Sydney Children's Hospitals Network,Specialty network,Paediatric specialist,T3: Urgent,72.7
2010-01-01,Jan-Mar 2010,Hospital,Children's at Westmead,Sydney Children's Hospitals Network,Specialty network,Paediatric specialist,T4: Semi-urgent,69.6
2010-01-01,Jan-Mar 2010,Hospital,Children's at Westmead,Sydney Children's Hospitals Network,Specialty network,Paediatric specialist,T5: Non-urgent,79.8
2010-01-01,Jan-Mar 2010,Hospital,Coffs Harbour,Mid North Coast,Regional,Major,T2: Emergency,59.5
2010-01-01,Jan-Mar 2010,Hospital,Coffs Harbour,Mid North Coast,Regional,Major,T3: Urgent,58.9
2010-01-01,Jan-Mar 2010,Hospital,Coffs Harbour,Mid North Coast,Regional,Major,T4: Semi-urgent,62.1
2010-01-01,Jan-Mar 2010,Hospital,Coffs Harbour,Mid North Coast,Regional,Major,T5: Non-urgent,84.3
2010-01-01,Jan-Mar 2010,Hospital,Concord,Sydney,Metropolitan,Principal referral,T2: Emergency,83.6
2010-01-01,Jan-Mar 2010,Hospital,Concord,Sydney,Metropolitan,Principal referral,T3: Urgent,75.6
2010-01-01,Jan-Mar 2010,Hospital,Concord,Sydney,Metropolitan,Principal referral,T4: Semi-urgent,77.7
2010-01-01,Jan-Mar 2010,Hospital,Concord,Sydney,Metropolitan,Principal referral,T5: Non-urgent,94.6
2010-01-01,Jan-Mar 2010,Hospital,Dubbo,Western NSW,Regional,Major,T2: Emergency,69.0
2010-01-01,Jan-Mar 2010,Hospital,Dubbo,Western NSW,Regional,Major,T3: Urgent,68.8
2010-01-01,Jan-Mar 2010,Hospital,Dubbo,Western NSW,Regional,Major,T4: Semi-urgent,73.7
2010-01-01,Jan-Mar 2010,Hospital,Dubbo,Western NSW,Regional,Major,T5: Non-urgent,88.4
2010-01-01,Jan-Mar 2010,Hospital,Fairfield,South Western Sydney,Metropolitan,Major,T2: Emergency,52.9
2010-01-01,Jan-Mar 2010,Hospital,Fairfield,South Western Sydney,Metropolitan,Major,T3: Urgent,71.7
2010-01-01,Jan-Mar 2010,Hospital,Fairfield,South Western Sydney,Metropolitan,Major,T4: Semi-urgent,77.0
2010-01-01,Jan-Mar 2010,Hospital,Fairfield,South Western Sydney,Metropolitan,Major,T5: Non-urgent,93.7
2010-01-01,Jan-Mar 2010,Hospital,Gosford,Central Coast,Metropolitan,Principal referral,T2: Emergency,65.2
2010-01-01,Jan-Mar 2010,Hospital,Gosford,Central Coast,Metropolitan,Principal referral,T3: Urgent,65.3
2010-01-01,Jan-Mar 2010,Hospital,Gosford,Central Coast,Metropolitan,Principal referral,T4: Semi-urgent,62.0
2010-01-01,Jan-Mar 2010,Hospital,Gosford,Central Coast,Metropolitan,Principal referral,T5: Non-urgent,77.3
2010-01-01,Jan-Mar 2010,Hospital,Goulburn,Southern NSW,Regional,District group 1,T2: Emergency,58.9
2010-01-01,Jan-Mar 2010,Hospital,Goulburn,Southern NSW,Regional,District group 1,T3: Urgent,63.3
2010-01-01,Jan-Mar 2010,Hospital,Goulburn,Southern NSW,Regional,District group 1,T4: Semi-urgent,74.6
2010-01-01,Jan-Mar 2010,Hospital,Goulburn,Southern NSW,Regional,District group 1,T5: Non-urgent,93.9
2010-01-01,Jan-Mar 2010,Hospital,Griffith,Murrumbidgee,Regional,District group 1,T2: Emergency,37.8
2010-01-01,Jan-Mar 2010,Hospital,Griffith,Murrumbidgee,Regional,District group 1,T3: Urgent,51.8
2010-01-01,Jan-Mar 2010,Hospital,Griffith,Murrumbidgee,Regional,District group 1,T4: Semi-urgent,67.3
2010-01-01,Jan-Mar 2010,Hospital,Griffith,Murrumbidgee,Regional,District group 1,T5: Non-urgent,91.7
2010-01-01,Jan-Mar 2010,Hospital,Gunnedah,Hunter New England,Regional,District group 2,T2: Emergency,100.0
2010-01-01,Jan-Mar 2010,Hospital,Gunnedah,Hunter New England,Regional,District group 2,T3: Urgent,100.0
2010-01-01,Jan-Mar 2010,Hospital,Gunnedah,Hunter New England,Regional,District group 2,T4: Semi-urgent,100.0
2010-01-01,Jan-Mar 2010,Hospital,Gunnedah,Hunter New England,Regional,District group 2,T5: Non-urgent,99.8
2010-01-01,Jan-Mar 2010,Hospital,Hawkesbury,Nepean Blue Mountains,Metropolitan,District group 1,T2: Emergency,26.4
2010-01-01,Jan-Mar 2010,Hospital,Hawkesbury,Nepean Blue Mountains,Metropolitan,District group 1,T3: Urgent,56.5
2010-01-01,Jan-Mar 2010,Hospital,Hawkesbury,Nepean Blue Mountains,Metropolitan,District group 1,T4: Semi-urgent,81.9
2010-01-01,Jan-Mar 2010,Hospital,Hawkesbury,Nepean Blue Mountains,Metropolitan,District group 1,T5: Non-urgent,94.1
2010-01-01,Jan-Mar 2010,Hospital,Hornsby,Northern Sydney,Metropolitan,Major,T2: Emergency,80.2
2010-01-01,Jan-Mar 2010,Hospital,Hornsby,Northern Sydney,Metropolitan,Major,T3: Urgent,73.3
2010-01-01,Jan-Mar 2010,Hospital,Hornsby,Northern Sydney,Metropolitan,Major,T4: Semi-urgent,74.7
2010-01-01,Jan-Mar 2010,Hospital,Hornsby,Northern Sydney,Metropolitan,Major,T5: Non-urgent,87.2
2010-01-01,Jan-Mar 2010,Hospital,Inverell,Hunter New England,Regional,District group 2,T2: Emergency,86.9
2010-01-01,Jan-Mar 2010,Hospital,Inverell,Hunter New England,Regional,District group 2,T3: Urgent,68.6
2010-01-01,Jan-Mar 2010,Hospital,Inverell,Hunter New England,Regional,District group 2,T4: Semi-urgent,78.1
2010-01-01,Jan-Mar 2010,Hospital,Inverell,Hunter New England,Regional,District group 2,T5: Non-urgent,94.1
2010-01-01,Jan-Mar 2010,Hospital,John Hunter,Hunter New England,Regional,Principal referral,T2: Emergency,72.6
2010-01-01,Jan-Mar 2010,Hospital,John Hunter,Hunter New England,Regional,Principal referral,T3: Urgent,65.7
2010-01-01,Jan-Mar 2010,Hospital,John Hunter,Hunter New England,Regional,Principal referral,T4: Semi-urgent,71.7
2010-01-01,Jan-Mar 2010,Hospital,John Hunter,Hunter New England,Regional,Principal referral,T5: Non-urgent,87.0
2010-01-01,Jan-Mar 2010,Hospital,Kempsey,Mid North Coast,Regional,District group 2,T2: Emergency,39.5
2010-01-01,Jan-Mar 2010,Hospital,Kempsey,Mid North Coast,Regional,District group 2,T3: Urgent,63.7
2010-01-01,Jan-Mar 2010,Hospital,Kempsey,Mid North Coast,Regional,District group 2,T4: Semi-urgent,73.0
2010-01-01,Jan-Mar 2010,Hospital,Kempsey,Mid North Coast,Regional,District group 2,T5: Non-urgent,91.1
2010-01-01,Jan-Mar 2010,Hospital,Kurri Kurri,Hunter New England,Regional,District group 2,T2: Emergency,91.9
2010-01-01,Jan-Mar 2010,Hospital,Kurri Kurri,Hunter New England,Regional,District group 2,T3: Urgent,75.0
2010-01-01,Jan-Mar 2010,Hospital,Kurri Kurri,Hunter New England,Regional,District group 2,T4: Semi-urgent,87.5
2010-01-01,Jan-Mar 2010,Hospital,Kurri Kurri,Hunter New England,Regional,District group 2,T5: Non-urgent,97.6
2010-01-01,Jan-Mar 2010,Hospital,Lismore,Northern NSW,Regional,Major,T2: Emergency,61.0
2010-01-01,Jan-Mar 2010,Hospital,Lismore,Northern NSW,Regional,Major,T3: Urgent,46.4
2010-01-01,Jan-Mar 2010,Hospital,Lismore,Northern NSW,Regional,Major,T4: Semi-urgent,52.8
2010-01-01,Jan-Mar 2010,Hospital,Lismore,Northern NSW,Regional,Major,T5: Non-urgent,84.8
2010-01-01,Jan-Mar 2010,Hospital,Lithgow,Nepean Blue Mountains,Metropolitan,District group 2,T2: Emergency,73.5
2010-01-01,Jan-Mar 2010,Hospital,Lithgow,Nepean Blue Mountains,Metropolitan,District group 2,T3: Urgent,75.7
2010-01-01,Jan-Mar 2010,Hospital,Lithgow,Nepean Blue Mountains,Metropolitan,District group 2,T4: Semi-urgent,86.7
2010-01-01,Jan-Mar 2010,Hospital,Lithgow,Nepean Blue Mountains,Metropolitan,District group 2,T5: Non-urgent,97.0
2010-01-01,Jan-Mar 2010,Hospital,Liverpool,South Western Sydney,Metropolitan,Principal referral,T2: Emergency,70.2
2010-01-01,Jan-Mar 2010,Hospital,Liverpool,South Western Sydney,Metropolitan,Principal referral,T3: Urgent,78.5
2010-01-01,Jan-Mar 2010,Hospital,Liverpool,South Western Sydney,Metropolitan,Principal referral,T4: Semi-urgent,81.5
2010-01-01,Jan-Mar 2010,Hospital,Liverpool,South Western Sydney,Metropolitan,Principal referral,T5: Non-urgent,91.5
2010-01-01,Jan-Mar 2010,Hospital,Maitland,Hunter New England,Regional,Major,T2: Emergency,67.7
2010-01-01,Jan-Mar 2010,Hospital,Maitland,Hunter New England,Regional,Major,T3: Urgent,62.3
2010-01-01,Jan-Mar 2010,Hospital,Maitland,Hunter New England,Regional,Major,T4: Semi-urgent,64.3
2010-01-01,Jan-Mar 2010,Hospital,Maitland,Hunter New England,Regional,Major,T5: Non-urgent,88.2
2010-01-01,Jan-Mar 2010,Hospital,Manly,Northern Sydney,Metropolitan,Major,T2: Emergency,91.2
2010-01-01,Jan-Mar 2010,Hospital,Manly,Northern Sydney,Metropolitan,Major,T3: Urgent,89.1
2010-01-01,Jan-Mar 2010,Hospital,Manly,Northern Sydney,Metropolitan,Major,T4: Semi-urgent,78.6
2010-01-01,Jan-Mar 2010,Hospital,Manly,Northern Sydney,Metropolitan,Major,T5: Non-urgent,92.1
2010-01-01,Jan-Mar 2010,Hospital,Manning,Hunter New England,Regional,Major,T2: Emergency,57.1
2010-01-01,Jan-Mar 2010,Hospital,Manning,Hunter New England,Regional,Major,T3: Urgent,39.1
2010-01-01,Jan-Mar 2010,Hospital,Manning,Hunter New England,Regional,Major,T4: Semi-urgent,40.7
2010-01-01,Jan-Mar 2010,Hospital,Manning,Hunter New England,Regional,Major,T5: Non-urgent,73.7
2010-01-01,Jan-Mar 2010,Hospital,Milton,Illawarra Shoalhaven,Metropolitan,District group 2,T2: Emergency,82.5
2010-01-01,Jan-Mar 2010,Hospital,Milton,Illawarra Shoalhaven,Metropolitan,District group 2,T3: Urgent,91.1
2010-01-01,Jan-Mar 2010,Hospital,Milton,Illawarra Shoalhaven,Metropolitan,District group 2,T4: Semi-urgent,89.3
2010-01-01,Jan-Mar 2010,Hospital,Milton,Illawarra Shoalhaven,Metropolitan,District group 2,T5: Non-urgent,92.6
2010-01-01,Jan-Mar 2010,Hospital,Mona Vale,Northern Sydney,Metropolitan,Major,T2: Emergency,98.1
2010-01-01,Jan-Mar 2010,Hospital,Mona Vale,Northern Sydney,Metropolitan,Major,T3: Urgent,88.4
2010-01-01,Jan-Mar 2010,Hospital,Mona Vale,Northern Sydney,Metropolitan,Major,T4: Semi-urgent,87.6
2010-01-01,Jan-Mar 2010,Hospital,Mona Vale,Northern Sydney,Metropolitan,Major,T5: Non-urgent,95.7
2010-01-01,Jan-Mar 2010,Hospital,Moree,Hunter New England,Regional,District group 2,T2: Emergency,85.9
2010-01-01,Jan-Mar 2010,Hospital,Moree,Hunter New England,Regional,District group 2,T3: Urgent,91.9
2010-01-01,Jan-Mar 2010,Hospital,Moree,Hunter New England,Regional,District group 2,T4: Semi-urgent,96.6
2010-01-01,Jan-Mar 2010,Hospital,Moree,Hunter New England,Regional,District group 2,T5: Non-urgent,99.6
2010-01-01,Jan-Mar 2010,Hospital,Mount Druitt,Western Sydney,Metropolitan,District group 1,T2: Emergency,89.3
2010-01-01,Jan-Mar 2010,Hospital,Mount Druitt,Western Sydney,Metropolitan,District group 1,T3: Urgent,88.0
2010-01-01,Jan-Mar 2010,Hospital,Mount Druitt,Western Sydney,Metropolitan,District group 1,T4: Semi-urgent,80.5
2010-01-01,Jan-Mar 2010,Hospital,Mount Druitt,Western Sydney,Metropolitan,District group 1,T5: Non-urgent,92.0
2010-01-01,Jan-Mar 2010,Hospital,Murwillumbah,Northern NSW,Regional,District group 1,T2: Emergency,84.4
2010-01-01,Jan-Mar 2010,Hospital,Murwillumbah,Northern NSW,Regional,District group 1,T3: Urgent,68.3
2010-01-01,Jan-Mar 2010,Hospital,Murwillumbah,Northern NSW,Regional,District group 1,T4: Semi-urgent,75.3
2010-01-01,Jan-Mar 2010,Hospital,Murwillumbah,Northern NSW,Regional,District group 1,T5: Non-urgent,94.8
2010-01-01,Jan-Mar 2010,Hospital,Muswellbrook,Hunter New England,Regional,District group 2,T2: Emergency,75.0
2010-01-01,Jan-Mar 2010,Hospital,Muswellbrook,Hunter New England,Regional,District group 2,T3: Urgent,73.9
