quarter_start,reporting_period,reporting_level,entity,lhd,district_type,peer_group,triage_category,pct_on_time
2011-07-01,Jul-Sep 2011,Hospital,Lismore,Northern NSW,Regional,Major,T3: Urgent,50.5
2011-07-01,Jul-Sep 2011,Hospital,Lismore,Northern NSW,Regional,Major,T4: Semi-urgent,55.4
2011-07-01,Jul-Sep 2011,Hospital,Lismore,Northern NSW,Regional,Major,T5: Non-urgent,76.9
2011-07-01,Jul-Sep 2011,Hospital,Lithgow,Nepean Blue Mountains,Metropolitan,District group 2,T2: Emergency,72.5
2011-07-01,Jul-Sep 2011,Hospital,Lithgow,Nepean Blue Mountains,Metropolitan,District group 2,T3: Urgent,75.7
2011-07-01,Jul-Sep 2011,Hospital,Lithgow,Nepean Blue Mountains,Metropolitan,District group 2,T4: Semi-urgent,86.3
2011-07-01,Jul-Sep 2011,Hospital,Lithgow,Nepean Blue Mountains,Metropolitan,District group 2,T5: Non-urgent,95.4
2011-07-01,Jul-Sep 2011,Hospital,Liverpool,South Western Sydney,Metropolitan,Principal referral,T2: Emergency,56.8
2011-07-01,Jul-Sep 2011,Hospital,Liverpool,South Western Sydney,Metropolitan,Principal referral,T3: Urgent,58.1
2011-07-01,Jul-Sep 2011,Hospital,Liverpool,South Western Sydney,Metropolitan,Principal referral,T4: Semi-urgent,67.4
2011-07-01,Jul-Sep 2011,Hospital,Liverpool,South Western Sydney,Metropolitan,Principal referral,T5: Non-urgent,87.5
2011-07-01,Jul-Sep 2011,Hospital,Maclean,Northern NSW,Regional,District group 2,T2: Emergency,87.5
2011-07-01,Jul-Sep 2011,Hospital,Maclean,Northern NSW,Regional,District group 2,T3: Urgent,61.7
2011-07-01,Jul-Sep 2011,Hospital,Maclean,Northern NSW,Regional,District group 2,T4: Semi-urgent,62.1
2011-07-01,Jul-Sep 2011,Hospital,Maclean,Northern NSW,Regional,District group 2,T5: Non-urgent,89.0
2011-07-01,Jul-Sep 2011,Hospital,Maitland,Hunter New England,Regional,Major,T2: Emergency,61.9
2011-07-01,Jul-Sep 2011,Hospital,Maitland,Hunter New England,Regional,Major,T3: Urgent,59.3
2011-07-01,Jul-Sep 2011,Hospital,Maitland,Hunter New England,Regional,Major,T4: Semi-urgent,62.0
2011-07-01,Jul-Sep 2011,Hospital,Maitland,Hunter New England,Regional,Major,T5: Non-urgent,81.7
2011-07-01,Jul-Sep 2011,Hospital,Manning,Hunter New England,Regional,Major,T2: Emergency,78.4
2011-07-01,Jul-Sep 2011,Hospital,Manning,Hunter New England,Regional,Major,T3: Urgent,65.9
2011-07-01,Jul-Sep 2011,Hospital,Manning,Hunter New England,Regional,Major,T4: Semi-urgent,65.2
2011-07-01,Jul-Sep 2011,Hospital,Manning,Hunter New England,Regional,Major,T5: Non-urgent,84.1
2011-07-01,Jul-Sep 2011,Hospital,Milton,Illawarra Shoalhaven,Metropolitan,District group 2,T2: Emergency,76.4
2011-07-01,Jul-Sep 2011,Hospital,Milton,Illawarra Shoalhaven,Metropolitan,District group 2,T3: Urgent,82.0
2011-07-01,Jul-Sep 2011,Hospital,Milton,Illawarra Shoalhaven,Metropolitan,District group 2,T4: Semi-urgent,81.1
2011-07-01,Jul-Sep 2011,Hospital,Milton,Illawarra Shoalhaven,Metropolitan,District group 2,T5: Non-urgent,91.7
2011-07-01,Jul-Sep 2011,Hospital,Moree,Hunter New England,Regional,District group 2,T2: Emergency,73.0
2011-07-01,Jul-Sep 2011,Hospital,Moree,Hunter New England,Regional,District group 2,T3: Urgent,75.3
2011-07-01,Jul-Sep 2011,Hospital,Moree,Hunter New England,Regional,District group 2,T4: Semi-urgent,85.9
2011-07-01,Jul-Sep 2011,Hospital,Moree,Hunter New England,Regional,District group 2,T5: Non-urgent,99.5
2011-07-01,Jul-Sep 2011,Hospital,Mount Druitt,Western Sydney,Metropolitan,District group 1,T2: Emergency,59.3
2011-07-01,Jul-Sep 2011,Hospital,Mount Druitt,Western Sydney,Metropolitan,District group 1,T3: Urgent,52.6
2011-07-01,Jul-Sep 2011,Hospital,Mount Druitt,Western Sydney,Metropolitan,District group 1,T4: Semi-urgent,44.8
2011-07-01,Jul-Sep 2011,Hospital,Mount Druitt,Western Sydney,Metropolitan,District group 1,T5: Non-urgent,67.0
2011-07-01,Jul-Sep 2011,Hospital,Murwillumbah,Northern NSW,Regional,District group 1,T2: Emergency,80.3
2011-07-01,Jul-Sep 2011,Hospital,Murwillumbah,Northern NSW,Regional,District group 1,T3: Urgent,78.2
2011-07-01,Jul-Sep 2011,Hospital,Murwillumbah,Northern NSW,Regional,District group 1,T4: Semi-urgent,81.4
2011-07-01,Jul-Sep 2011,Hospital,Murwillumbah,Northern NSW,Regional,District group 1,T5: Non-urgent,90.4
2011-07-01,Jul-Sep 2011,Hospital,Muswellbrook,Hunter New England,Regional,District group 2,T2: Emergency,70.2
2011-07-01,Jul-Sep 2011,Hospital,Muswellbrook,Hunter New England,Regional,District group 2,T3: Urgent,62.7
2011-07-01,Jul-Sep 2011,Hospital,Muswellbrook,Hunter New England,Regional,District group 2,T4: Semi-urgent,74.5
2011-07-01,Jul-Sep 2011,Hospital,Muswellbrook,Hunter New England,Regional,District group 2,T5: Non-urgent,92.9
2011-07-01,Jul-Sep 2011,Hospital,Narrabri,Hunter New England,Regional,District group 2,T2: Emergency,94.9
2011-07-01,Jul-Sep 2011,Hospital,Narrabri,Hunter New England,Regional,District group 2,T3: Urgent,90.4
2011-07-01,Jul-Sep 2011,Hospital,Narrabri,Hunter New England,Regional,District group 2,T4: Semi-urgent,95.2
2011-07-01,Jul-Sep 2011,Hospital,Narrabri,Hunter New England,Regional,District group 2,T5: Non-urgent,99.1
2011-07-01,Jul-Sep 2011,Hospital,Nepean,Nepean Blue Mountains,Metropolitan,Principal referral,T2: Emergency,45.0
2011-07-01,Jul-Sep 2011,Hospital,Nepean,Nepean Blue Mountains,Metropolitan,Principal referral,T3: Urgent,36.8
2011-07-01,Jul-Sep 2011,Hospital,Nepean,Nepean Blue Mountains,Metropolitan,Principal referral,T4: Semi-urgent,56.8
2011-07-01,Jul-Sep 2011,Hospital,Nepean,Nepean Blue Mountains,Metropolitan,Principal referral,T5: Non-urgent,81.0
2011-07-01,Jul-Sep 2011,Hospital,Orange,Western NSW,Regional,Major,T2: Emergency,78.9
2011-07-01,Jul-Sep 2011,Hospital,Orange,Western NSW,Regional,Major,T3: Urgent,67.4
2011-07-01,Jul-Sep 2011,Hospital,Orange,Western NSW,Regional,Major,T4: Semi-urgent,69.5
2011-07-01,Jul-Sep 2011,Hospital,Orange,Western NSW,Regional,Major,T5: Non-urgent,82.6
2011-07-01,Jul-Sep 2011,Hospital,Port Macquarie,Mid North Coast,Regional,Major,T2: Emergency,49.4
2011-07-01,Jul-Sep 2011,Hospital,Port Macquarie,Mid North Coast,Regional,Major,T3: Urgent,49.8
2011-07-01,Jul-Sep 2011,Hospital,Port Macquarie,Mid North Coast,Regional,Major,T4: Semi-urgent,63.8
2011-07-01,Jul-Sep 2011,Hospital,Port Macquarie,Mid North Coast,Regional,Major,T5: Non-urgent,89.1
2011-07-01,Jul-Sep 2011,Hospital,Prince of Wales,South Eastern Sydney,Metropolitan,Principal referral,T2: Emergency,52.6
2011-07-01,Jul-Sep 2011,Hospital,Prince of Wales,South Eastern Sydney,Metropolitan,Principal referral,T3: Urgent,41.5
2011-07-01,Jul-Sep 2011,Hospital,Prince of Wales,South Eastern Sydney,Metropolitan,Principal referral,T4: Semi-urgent,67.2
2011-07-01,Jul-Sep 2011,Hospital,Prince of Wales,South Eastern Sydney,Metropolitan,Principal referral,T5: Non-urgent,80.8
2011-07-01,Jul-Sep 2011,Hospital,Royal Prince Alfred,Sydney,Metropolitan,Principal referral,T2: Emergency,59.3
2011-07-01,Jul-Sep 2011,Hospital,Royal Prince Alfred,Sydney,Metropolitan,Principal referral,T3: Urgent,57.6
2011-07-01,Jul-Sep 2011,Hospital,Royal Prince Alfred,Sydney,Metropolitan,Principal referral,T4: Semi-urgent,66.4
2011-07-01,Jul-Sep 2011,Hospital,Royal Prince Alfred,Sydney,Metropolitan,Principal referral,T5: Non-urgent,83.1
2011-07-01,Jul-Sep 2011,Hospital,Ryde,Northern Sydney,Metropolitan,District group 1,T2: Emergency,95.7
2011-07-01,Jul-Sep 2011,Hospital,Ryde,Northern Sydney,Metropolitan,District group 1,T3: Urgent,87.5
2011-07-01,Jul-Sep 2011,Hospital,Ryde,Northern Sydney,Metropolitan,District group 1,T4: Semi-urgent,79.3
2011-07-01,Jul-Sep 2011,Hospital,Ryde,Northern Sydney,Metropolitan,District group 1,T5: Non-urgent,89.9
2011-07-01,Jul-Sep 2011,Hospital,Shellharbour,Illawarra Shoalhaven,Metropolitan,District group 1,T2: Emergency,54.5
2011-07-01,Jul-Sep 2011,Hospital,Shellharbour,Illawarra Shoalhaven,Metropolitan,District group 1,T3: Urgent,57.5
2011-07-01,Jul-Sep 2011,Hospital,Shellharbour,Illawarra Shoalhaven,Metropolitan,District group 1,T4: Semi-urgent,67.0
2011-07-01,Jul-Sep 2011,Hospital,Shellharbour,Illawarra Shoalhaven,Metropolitan,District group 1,T5: Non-urgent,96.2
2011-07-01,Jul-Sep 2011,Hospital,Shoalhaven,Illawarra Shoalhaven,Metropolitan,Major,T2: Emergency,50.1
2011-07-01,Jul-Sep 2011,Hospital,Shoalhaven,Illawarra Shoalhaven,Metropolitan,Major,T3: Urgent,59.8
2011-07-01,Jul-Sep 2011,Hospital,Shoalhaven,Illawarra Shoalhaven,Metropolitan,Major,T4: Semi-urgent,66.9
2011-07-01,Jul-Sep 2011,Hospital,Shoalhaven,Illawarra Shoalhaven,Metropolitan,Major,T5: Non-urgent,87.9
2011-07-01,Jul-Sep 2011,Hospital,Singleton,Hunter New England,Regional,District group 2,T2: Emergency,72.3
2011-07-01,Jul-Sep 2011,Hospital,Singleton,Hunter New England,Regional,District group 2,T3: Urgent,64.4
2011-07-01,Jul-Sep 2011,Hospital,Singleton,Hunter New England,Regional,District group 2,T4: Semi-urgent,66.4
2011-07-01,Jul-Sep 2011,Hospital,Singleton,Hunter New England,Regional,District group 2,T5: Non-urgent,92.4
2011-07-01,Jul-Sep 2011,Hospital,South East Regional,Southern NSW,Regional,District group 1,T2: Emergency,53.3
2011-07-01,Jul-Sep 2011,Hospital,South East Regional,Southern NSW,Regional,District group 1,T3: Urgent,63.0
2011-07-01,Jul-Sep 2011,Hospital,South East Regional,Southern NSW,Regional,District group 1,T4: Semi-urgent,70.5
2011-07-01,Jul-Sep 2011,Hospital,South East Regional,Southern NSW,Regional,District group 1,T5: Non-urgent,79.3
2011-07-01,Jul-Sep 2011,Hospital,St George,South Eastern Sydney,Metropolitan,Principal referral,T2: Emergency,54.2
2011-07-01,Jul-Sep 2011,Hospital,St George,South Eastern Sydney,Metropolitan,Principal referral,T3: Urgent,52.8
2011-07-01,Jul-Sep 2011,Hospital,St George,South Eastern Sydney,Metropolitan,Principal referral,T4: Semi-urgent,63.9
2011-07-01,Jul-Sep 2011,Hospital,St George,South Eastern Sydney,Metropolitan,Principal referral,T5: Non-urgent,82.1
2011-07-01,Jul-Sep 2011,Hospital,St Vincent's,St Vincent's Health Network,Specialty network,Principal referral,T2: Emergency,100.0
2011-07-01,Jul-Sep 2011,Hospital,St Vincent's,St Vincent's Health Network,Specialty network,Principal referral,T3: Urgent,66.7
2011-07-01,Jul-Sep 2011,Hospital,St Vincent's,St Vincent's Health Network,Specialty network,Principal referral,T4: Semi-urgent,75.0
2011-07-01,Jul-Sep 2011,Hospital,St Vincent's,St Vincent's Health Network,Specialty network,Principal referral,T5: Non-urgent,88.8
2011-07-01,Jul-Sep 2011,Hospital,Sutherland,South Eastern Sydney,Metropolitan,Major,T2: Emergency,47.6
2011-07-01,Jul-Sep 2011,Hospital,Sutherland,South Eastern Sydney,Metropolitan,Major,T3: Urgent,65.1
2011-07-01,Jul-Sep 2011,Hospital,Sutherland,South Eastern Sydney,Metropolitan,Major,T4: Semi-urgent,84.1
2011-07-01,Jul-Sep 2011,Hospital,Sutherland,South Eastern Sydney,Metropolitan,Major,T5: Non-urgent,96.3
2011-07-01,Jul-Sep 2011,Hospital,Sydney Children's Randwick,Sydney Children's Hospitals Network,Specialty network,Paediatric specialist,T2: Emergency,63.1
2011-07-01,Jul-Sep 2011,Hospital,Sydney Children's Randwick,Sydney Children's Hospitals Network,Specialty network,Paediatric specialist,T3: Urgent,70.0
2011-07-01,Jul-Sep 2011,Hospital,Sydney Children's Randwick,Sydney Children's Hospitals Network,Specialty network,Paediatric specialist,T4: Semi-urgent,65.0
2011-07-01,Jul-Sep 2011,Hospital,Sydney Children's Randwick,Sydney Children's Hospitals Network,Specialty network,Paediatric specialist,T5: Non-urgent,88.8
2011-07-01,Jul-Sep 2011,Hospital,Sydney and Sydney Eye,South Eastern Sydney,Metropolitan,Ungrouped acute - tertiary referral,T2: Emergency,69.3
2011-07-01,Jul-Sep 2011,Hospital,Sydney and Sydney Eye,South Eastern Sydney,Metropolitan,Ungrouped acute - tertiary referral,T3: Urgent,88.9
2011-07-01,Jul-Sep 2011,Hospital,Sydney and Sydney Eye,South Eastern Sydney,Metropolitan,Ungrouped acute - tertiary referral,T4: Semi-urgent,92.3
2011-07-01,Jul-Sep 2011,Hospital,Sydney and Sydney Eye,South Eastern Sydney,Metropolitan,Ungrouped acute - tertiary referral,T5: Non-urgent,98.0
2011-07-01,Jul-Sep 2011,Hospital,Tamworth,Hunter New England,Regional,Major,T2: Emergency,73.0
2011-07-01,Jul-Sep 2011,Hospital,Tamworth,Hunter New England,Regional,Major,T3: Urgent,57.3
2011-07-01,Jul-Sep 2011,Hospital,Tamworth,Hunter New England,Regional,Major,T4: Semi-urgent,55.2
2011-07-01,Jul-Sep 2011,Hospital,Tamworth,Hunter New England,Regional,Major,T5: Non-urgent,75.4
2011-07-01,Jul-Sep 2011,Hospital,Tweed Valley,Northern NSW,Regional,Major,T2: Emergency,48.5
2011-07-01,Jul-Sep 2011,Hospital,Tweed Valley,Northern NSW,Regional,Major,T3: Urgent,47.1
2011-07-01,Jul-Sep 2011,Hospital,Tweed Valley,Northern NSW,Regional,Major,T4: Semi-urgent,62.4
2011-07-01,Jul-Sep 2011,Hospital,Tweed Valley,Northern NSW,Regional,Major,T5: Non-urgent,85.6
2011-07-01,Jul-Sep 2011,Hospital,Wagga Wagga,Murrumbidgee,Regional,Major,T2: Emergency,66.0
2011-07-01,Jul-Sep 2011,Hospital,Wagga Wagga,Murrumbidgee,Regional,Major,T3: Urgent,64.0
2011-07-01,Jul-Sep 2011,Hospital,Wagga Wagga,Murrumbidgee,Regional,Major,T4: Semi-urgent,65.4
2011-07-01,Jul-Sep 2011,Hospital,Wagga Wagga,Murrumbidgee,Regional,Major,T5: Non-urgent,86.3
2011-07-01,Jul-Sep 2011,Hospital,Westmead,Western Sydney,Metropolitan,Principal referral,T2: Emergency,73.5
2011-07-01,Jul-Sep 2011,Hospital,Westmead,Western Sydney,Metropolitan,Principal referral,T3: Urgent,57.4
2011-07-01,Jul-Sep 2011,Hospital,Westmead,Western Sydney,Metropolitan,Principal referral,T4: Semi-urgent,61.1
2011-07-01,Jul-Sep 2011,Hospital,Westmead,Western Sydney,Metropolitan,Principal referral,T5: Non-urgent,76.2
2011-07-01,Jul-Sep 2011,Hospital,Wollongong,Illawarra Shoalhaven,Metropolitan,Principal referral,T2: Emergency,42.9
2011-07-01,Jul-Sep 2011,Hospital,Wollongong,Illawarra Shoalhaven,Metropolitan,Principal referral,T3: Urgent,47.6
2011-07-01,Jul-Sep 2011,Hospital,Wollongong,Illawarra Shoalhaven,Metropolitan,Principal referral,T4: Semi-urgent,56.6
2011-07-01,Jul-Sep 2011,Hospital,Wollongong,Illawarra Shoalhaven,Metropolitan,Principal referral,T5: Non-urgent,78.9
2011-07-01,Jul-Sep 2011,LHD,Central Coast,Central Coast,Metropolitan,,T2: Emergency,60.9
2011-07-01,Jul-Sep 2011,LHD,Central Coast,Central Coast,Metropolitan,,T3: Urgent,57.0
2011-07-01,Jul-Sep 2011,LHD,Central Coast,Central Coast,Metropolitan,,T4: Semi-urgent,52.8
2011-07-01,Jul-Sep 2011,LHD,Central Coast,Central Coast,Metropolitan,,T5: Non-urgent,75.2
2011-07-01,Jul-Sep 2011,LHD,Far West,Far West,Regional,,T2: Emergency,86.0
2011-07-01,Jul-Sep 2011,LHD,Far West,Far West,Regional,,T3: Urgent,85.3
2011-07-01,Jul-Sep 2011,LHD,Far West,Far West,Regional,,T4: Semi-urgent,78.1
2011-07-01,Jul-Sep 2011,LHD,Far West,Far West,Regional,,T5: Non-urgent,89.0
2011-07-01,Jul-Sep 2011,LHD,Hunter New England,Hunter New England,Regional,,T2: Emergency,73.6
2011-07-01,Jul-Sep 2011,LHD,Hunter New England,Hunter New England,Regional,,T3: Urgent,66.9
2011-07-01,Jul-Sep 2011,LHD,Hunter New England,Hunter New England,Regional,,T4: Semi-urgent,70.1
2011-07-01,Jul-Sep 2011,LHD,Hunter New England,Hunter New England,Regional,,T5: Non-urgent,86.7
2011-07-01,Jul-Sep 2011,LHD,Illawarra Shoalhaven,Illawarra Shoalhaven,Metropolitan,,T2: Emergency,51.1
2011-07-01,Jul-Sep 2011,LHD,Illawarra Shoalhaven,Illawarra Shoalhaven,Metropolitan,,T3: Urgent,56.3
2011-07-01,Jul-Sep 2011,LHD,Illawarra Shoalhaven,Illawarra Shoalhaven,Metropolitan,,T4: Semi-urgent,66.4
2011-07-01,Jul-Sep 2011,LHD,Illawarra Shoalhaven,Illawarra Shoalhaven,Metropolitan,,T5: Non-urgent,88.8
2011-07-01,Jul-Sep 2011,LHD,Mid North Coast,Mid North Coast,Regional,,T2: Emergency,55.7
2011-07-01,Jul-Sep 2011,LHD,Mid North Coast,Mid North Coast,Regional,,T3: Urgent,54.3
2011-07-01,Jul-Sep 2011,LHD,Mid North Coast,Mid North Coast,Regional,,T4: Semi-urgent,68.2
2011-07-01,Jul-Sep 2011,LHD,Mid North Coast,Mid North Coast,Regional,,T5: Non-urgent,89.2
2011-07-01,Jul-Sep 2011,LHD,Murrumbidgee,Murrumbidgee,Regional,,T2: Emergency,74.5
2011-07-01,Jul-Sep 2011,LHD,Murrumbidgee,Murrumbidgee,Regional,,T3: Urgent,67.2
2011-07-01,Jul-Sep 2011,LHD,Murrumbidgee,Murrumbidgee,Regional,,T4: Semi-urgent,66.9
2011-07-01,Jul-Sep 2011,LHD,Murrumbidgee,Murrumbidgee,Regional,,T5: Non-urgent,85.9
2011-07-01,Jul-Sep 2011,LHD,Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan,,T2: Emergency,45.6
2011-07-01,Jul-Sep 2011,LHD,Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan,,T3: Urgent,48.4
2011-07-01,Jul-Sep 2011,LHD,Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan,,T4: Semi-urgent,68.4
2011-07-01,Jul-Sep 2011,LHD,Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan,,T5: Non-urgent,87.7
2011-07-01,Jul-Sep 2011,LHD,Northern NSW,Northern NSW,Regional,,T2: Emergency,60.3
2011-07-01,Jul-Sep 2011,LHD,Northern NSW,Northern NSW,Regional,,T3: Urgent,54.2
2011-07-01,Jul-Sep 2011,LHD,Northern NSW,Northern NSW,Regional,,T4: Semi-urgent,64.0
2011-07-01,Jul-Sep 2011,LHD,Northern NSW,Northern NSW,Regional,,T5: Non-urgent,86.7
2011-07-01,Jul-Sep 2011,LHD,Northern Sydney,Northern Sydney,Metropolitan,,T2: Emergency,81.4
2011-07-01,Jul-Sep 2011,LHD,Northern Sydney,Northern Sydney,Metropolitan,,T3: Urgent,76.6
2011-07-01,Jul-Sep 2011,LHD,Northern Sydney,Northern Sydney,Metropolitan,,T4: Semi-urgent,74.5
2011-07-01,Jul-Sep 2011,LHD,Northern Sydney,Northern Sydney,Metropolitan,,T5: Non-urgent,82.3
2011-07-01,Jul-Sep 2011,LHD,South Eastern Sydney,South Eastern Sydney,Metropolitan,,T2: Emergency,52.3
2011-07-01,Jul-Sep 2011,LHD,South Eastern Sydney,South Eastern Sydney,Metropolitan,,T3: Urgent,54.9
2011-07-01,Jul-Sep 2011,LHD,South Eastern Sydney,South Eastern Sydney,Metropolitan,,T4: Semi-urgent,74.8
2011-07-01,Jul-Sep 2011,LHD,South Eastern Sydney,South Eastern Sydney,Metropolitan,,T5: Non-urgent,92.5
2011-07-01,Jul-Sep 2011,LHD,South Western Sydney,South Western Sydney,Metropolitan,,T2: Emergency,59.8
2011-07-01,Jul-Sep 2011,LHD,South Western Sydney,South Western Sydney,Metropolitan,,T3: Urgent,62.4
2011-07-01,Jul-Sep 2011,LHD,South Western Sydney,South Western Sydney,Metropolitan,,T4: Semi-urgent,70.1
2011-07-01,Jul-Sep 2011,LHD,South Western Sydney,South Western Sydney,Metropolitan,,T5: Non-urgent,91.5
2011-07-01,Jul-Sep 2011,LHD,Southern NSW,Southern NSW,Regional,,T2: Emergency,43.7
2011-07-01,Jul-Sep 2011,LHD,Southern NSW,Southern NSW,Regional,,T3: Urgent,50.1
2011-07-01,Jul-Sep 2011,LHD,Southern NSW,Southern NSW,Regional,,T4: Semi-urgent,63.0
2011-07-01,Jul-Sep 2011,LHD,Southern NSW,Southern NSW,Regional,,T5: Non-urgent,79.0
2011-07-01,Jul-Sep 2011,LHD,St Vincent's Health Network,St Vincent's Health Network,Specialty network,,T2: Emergency,100.0
2011-07-01,Jul-Sep 2011,LHD,St Vincent's Health Network,St Vincent's Health Network,Specialty network,,T3: Urgent,66.7
2011-07-01,Jul-Sep 2011,LHD,St Vincent's Health Network,St Vincent's Health Network,Specialty network,,T4: Semi-urgent,75.0
2011-07-01,Jul-Sep 2011,LHD,St Vincent's Health Network,St Vincent's Health Network,Specialty network,,T5: Non-urgent,88.8
2011-07-01,Jul-Sep 2011,LHD,Sydney,Sydney,Metropolitan,,T2: Emergency,64.1
2011-07-01,Jul-Sep 2011,LHD,Sydney,Sydney,Metropolitan,,T3: Urgent,57.5
2011-07-01,Jul-Sep 2011,LHD,Sydney,Sydney,Metropolitan,,T4: Semi-urgent,68.0
2011-07-01,Jul-Sep 2011,LHD,Sydney,Sydney,Metropolitan,,T5: Non-urgent,85.1
2011-07-01,Jul-Sep 2011,LHD,Sydney Children's Hospitals Network,Sydney Children's Hospitals Network,Specialty network,,T2: Emergency,82.6
2011-07-01,Jul-Sep 2011,LHD,Sydney Children's Hospitals Network,Sydney Children's Hospitals Network,Specialty network,,T3: Urgent,65.3
2011-07-01,Jul-Sep 2011,LHD,Sydney Children's Hospitals Network,Sydney Children's Hospitals Network,Specialty network,,T4: Semi-urgent,64.3
2011-07-01,Jul-Sep 2011,LHD,Sydney Children's Hospitals Network,Sydney Children's Hospitals Network,Specialty network,,T5: Non-urgent,76.2
2011-07-01,Jul-Sep 2011,LHD,Western NSW,Western NSW,Regional,,T2: Emergency,70.6
2011-07-01,Jul-Sep 2011,LHD,Western NSW,Western NSW,Regional,,T3: Urgent,58.1
2011-07-01,Jul-Sep 2011,LHD,Western NSW,Western NSW,Regional,,T4: Semi-urgent,69.4
2011-07-01,Jul-Sep 2011,LHD,Western NSW,Western NSW,Regional,,T5: Non-urgent,84.7
2011-07-01,Jul-Sep 2011,LHD,Western Sydney,Western Sydney,Metropolitan,,T2: Emergency,72.2
2011-07-01,Jul-Sep 2011,LHD,Western Sydney,Western Sydney,Metropolitan,,T3: Urgent,56.0
2011-07-01,Jul-Sep 2011,LHD,Western Sydney,Western Sydney,Metropolitan,,T4: Semi-urgent,57.8
2011-07-01,Jul-Sep 2011,LHD,Western Sydney,Western Sydney,Metropolitan,,T5: Non-urgent,76.9
2011-07-01,Jul-Sep 2011,NSW,NSW,NSW,Specialty network,NSW,T2: Emergency,63.8
2011-07-01,Jul-Sep 2011,NSW,NSW,NSW,Specialty network,NSW,T3: Urgent,59.5
2011-07-01,Jul-Sep 2011,NSW,NSW,NSW,Specialty network,NSW,T4: Semi-urgent,68.0
2011-07-01,Jul-Sep 2011,NSW,NSW,NSW,Specialty network,NSW,T5: Non-urgent,85.5
2011-07-01,Jul-Sep 2011,Peergroup,District group 1,,Specialty network,District group 1,T2: Emergency,63.6
2011-07-01,Jul-Sep 2011,Peergroup,District group 1,,Specialty network,District group 1,T3: Urgent,64.7
2011-07-01,Jul-Sep 2011,Peergroup,District group 1,,Specialty network,District group 1,T4: Semi-urgent,70.0
2011-07-01,Jul-Sep 2011,Peergroup,District group 1,,Specialty network,District group 1,T5: Non-urgent,85.7
2011-07-01,Jul-Sep 2011,Peergroup,District group 2,,Specialty network,District group 2,T2: Emergency,67.6
2011-07-01,Jul-Sep 2011,Peergroup,District group 2,,Specialty network,District group 2,T3: Urgent,66.5
2011-07-01,Jul-Sep 2011,Peergroup,District group 2,,Specialty network,District group 2,T4: Semi-urgent,74.1
2011-07-01,Jul-Sep 2011,Peergroup,District group 2,,Specialty network,District group 2,T5: Non-urgent,92.6
2011-07-01,Jul-Sep 2011,Peergroup,Major,,Specialty network,Major,T2: Emergency,63.4
2011-07-01,Jul-Sep 2011,Peergroup,Major,,Specialty network,Major,T3: Urgent,57.9
2011-07-01,Jul-Sep 2011,Peergroup,Major,,Specialty network,Major,T4: Semi-urgent,65.5
2011-07-01,Jul-Sep 2011,Peergroup,Major,,Specialty network,Major,T5: Non-urgent,83.8
2011-07-01,Jul-Sep 2011,Peergroup,Paediatric specialist,,Specialty network,Paediatric specialist,T2: Emergency,82.6
2011-07-01,Jul-Sep 2011,Peergroup,Paediatric specialist,,Specialty network,Paediatric specialist,T3: Urgent,65.3
2011-07-01,Jul-Sep 2011,Peergroup,Paediatric specialist,,Specialty network,Paediatric specialist,T4: Semi-urgent,64.3
2011-07-01,Jul-Sep 2011,Peergroup,Paediatric specialist,,Specialty network,Paediatric specialist,T5: Non-urgent,76.2
2011-07-01,Jul-Sep 2011,Peergroup,Principal referral,,Specialty network,Principal referral,T2: Emergency,62.4
2011-07-01,Jul-Sep 2011,Peergroup,Principal referral,,Specialty network,Principal referral,T3: Urgent,55.3
2011-07-01,Jul-Sep 2011,Peergroup,Principal referral,,Specialty network,Principal referral,T4: Semi-urgent,63.3
2011-07-01,Jul-Sep 2011,Peergroup,Principal referral,,Specialty network,Principal referral,T5: Non-urgent,81.4
2011-07-01,Jul-Sep 2011,Peergroup,Ungrouped acute - tertiary referral,,Specialty network,Ungrouped acute - tertiary referral,T2: Emergency,74.4
2011-07-01,Jul-Sep 2011,Peergroup,Ungrouped acute - tertiary referral,,Specialty network,Ungrouped acute - tertiary referral,T3: Urgent,80.8
2011-07-01,Jul-Sep 2011,Peergroup,Ungrouped acute - tertiary referral,,Specialty network,Ungrouped acute - tertiary referral,T4: Semi-urgent,84.1
2011-07-01,Jul-Sep 2011,Peergroup,Ungrouped acute - tertiary referral,,Specialty network,Ungrouped acute - tertiary referral,T5: Non-urgent,94.3
2011-10-01,Oct-Dec 2011,Hospital,Armidale,Hunter New England,Regional,District group 1,T2: Emergency,68.3
2011-10-01,Oct-Dec 2011,Hospital,Armidale,Hunter New England,Regional,District group 1,T3: Urgent,67.0
2011-10-01,Oct-Dec 2011,Hospital,Armidale,Hunter New England,Regional,District group 1,T4: Semi-urgent,73.8
2011-10-01,Oct-Dec 2011,Hospital,Armidale,Hunter New England,Regional,District group 1,T5: Non-urgent,90.8
2011-10-01,Oct-Dec 2011,Hospital,Auburn,Western Sydney,Metropolitan,Major,T2: Emergency,75.9
2011-10-01,Oct-Dec 2011,Hospital,Auburn,Western Sydney,Metropolitan,Major,T3: Urgent,66.6
2011-10-01,Oct-Dec 2011,Hospital,Auburn,Western Sydney,Metropolitan,Major,T4: Semi-urgent,63.3
