reporting_period,entity,lhd,peer_group,attendances,pct_on_time,quarter_start,district_type
Apr-Jun 2020,Grafton,Northern NSW,District group 1,5183.0,80.1,2020-04-01,Regional
Apr-Jun 2020,Griffith,Murrumbidgee,District group 1,4018.0,91.7,2020-04-01,Regional
Apr-Jun 2020,Gunnedah,Hunter New England,District group 2,2296.0,83.9,2020-04-01,Regional
Apr-Jun 2020,Hawkesbury,Nepean Blue Mountains,District group 1,5515.0,73.8,2020-04-01,Metropolitan
Apr-Jun 2020,Hornsby,Northern Sydney,Major,8855.0,94.5,2020-04-01,Metropolitan
Apr-Jun 2020,Inverell,Hunter New England,District group 2,1861.0,80.2,2020-04-01,Regional
Apr-Jun 2020,John Hunter,Hunter New England,Principal referral,17544.0,86.2,2020-04-01,Regional
Apr-Jun 2020,Kempsey,Mid North Coast,District group 2,6039.0,82.3,2020-04-01,Regional
Apr-Jun 2020,Kurri Kurri,Hunter New England,District group 2,485.0,95.9,2020-04-01,Regional
Apr-Jun 2020,Lismore,Northern NSW,Major,8543.0,82.2,2020-04-01,Regional
Apr-Jun 2020,Lithgow,Nepean Blue Mountains,District group 2,2239.0,92.3,2020-04-01,Metropolitan
Apr-Jun 2020,Liverpool,South Western Sydney,Principal referral,18480.0,86.6,2020-04-01,Metropolitan
Apr-Jun 2020,Macksville,Mid North Coast,District group 2,2692.0,88.4,2020-04-01,Regional
Apr-Jun 2020,Maclean,Northern NSW,District group 2,2374.0,77.1,2020-04-01,Regional
Apr-Jun 2020,Maitland,Hunter New England,Major,10347.0,75.4,2020-04-01,Regional
Apr-Jun 2020,Manning,Hunter New England,Major,6739.0,86.7,2020-04-01,Regional
Apr-Jun 2020,Milton,Illawarra Shoalhaven,District group 2,3321.0,88.1,2020-04-01,Metropolitan
Apr-Jun 2020,Moree,Hunter New England,District group 2,1953.0,81.9,2020-04-01,Regional
Apr-Jun 2020,Moruya,Southern NSW,District group 2,2197.0,77.7,2020-04-01,Regional
Apr-Jun 2020,Mount Druitt,Western Sydney,District group 1,6412.0,78.1,2020-04-01,Metropolitan
Apr-Jun 2020,Mudgee,Western NSW,District group 2,2397.0,81.5,2020-04-01,Regional
Apr-Jun 2020,Murwillumbah,Northern NSW,District group 1,3378.0,93.2,2020-04-01,Regional
Apr-Jun 2020,Muswellbrook,Hunter New England,District group 2,2184.0,78.0,2020-04-01,Regional
Apr-Jun 2020,Narrabri,Hunter New England,District group 2,1420.0,91.9,2020-04-01,Regional
Apr-Jun 2020,Nepean,Nepean Blue Mountains,Principal referral,15217.0,65.0,2020-04-01,Metropolitan
Apr-Jun 2020,Northern Beaches,Northern Sydney,Major,26025.0,92.0,2020-04-01,Metropolitan
Apr-Jun 2020,Orange,Western NSW,Major,7299.0,91.7,2020-04-01,Regional
Apr-Jun 2020,Port Macquarie,Mid North Coast,Major,9236.0,81.8,2020-04-01,Regional
Apr-Jun 2020,Prince of Wales,South Eastern Sydney,Principal referral,11334.0,79.0,2020-04-01,Metropolitan
Apr-Jun 2020,Queanbeyan,Southern NSW,District group 2,4509.0,88.2,2020-04-01,Regional
Apr-Jun 2020,Royal North Shore,Northern Sydney,Principal referral,16726.0,88.5,2020-04-01,Metropolitan
Apr-Jun 2020,Royal Prince Alfred,Sydney,Principal referral,15590.0,83.2,2020-04-01,Metropolitan
Apr-Jun 2020,Ryde,Northern Sydney,District group 1,4527.0,90.7,2020-04-01,Metropolitan
Apr-Jun 2020,Shellharbour,Illawarra Shoalhaven,District group 1,6613.0,76.4,2020-04-01,Metropolitan
Apr-Jun 2020,Shoalhaven,Illawarra Shoalhaven,Major,7917.0,67.4,2020-04-01,Metropolitan
Apr-Jun 2020,Singleton,Hunter New England,District group 2,2571.0,74.0,2020-04-01,Regional
Apr-Jun 2020,South East Regional,Southern NSW,District group 1,3785.0,85.5,2020-04-01,Regional
Apr-Jun 2020,St George,South Eastern Sydney,Principal referral,19956.0,85.0,2020-04-01,Metropolitan
Apr-Jun 2020,St Vincent's,St Vincent's Health Network,Principal referral,9474.0,89.7,2020-04-01,Specialty network
Apr-Jun 2020,Sutherland,South Eastern Sydney,Major,23857.0,89.5,2020-04-01,Metropolitan
Apr-Jun 2020,Sydney Children's Randwick,Sydney Children's Hospitals Network,Paediatric specialist,5574.0,89.2,2020-04-01,Specialty network
Apr-Jun 2020,Sydney and Sydney Eye,South Eastern Sydney,Ungrouped acute - tertiary referral,6081.0,96.3,2020-04-01,Metropolitan
Apr-Jun 2020,Tamworth,Hunter New England,Major,8364.0,78.6,2020-04-01,Regional
Apr-Jun 2020,Tweed Valley,Northern NSW,Major,10157.0,88.7,2020-04-01,Regional
Apr-Jun 2020,Wagga Wagga,Murrumbidgee,Major,9297.0,93.4,2020-04-01,Regional
Apr-Jun 2020,Westmead,Western Sydney,Principal referral,15712.0,67.6,2020-04-01,Metropolitan
Apr-Jun 2020,Wollongong,Illawarra Shoalhaven,Principal referral,14356.0,84.7,2020-04-01,Metropolitan
Apr-Jun 2020,Wyong,Central Coast,Major,14536.0,77.5,2020-04-01,Metropolitan
Apr-Jun 2020,Young,Murrumbidgee,District group 2,1356.0,97.1,2020-04-01,Regional
Apr-Jun 2021,Armidale,Hunter New England,District group 1,4597.0,61.3,2021-04-01,Regional
Apr-Jun 2021,Auburn,Western Sydney,Major,7579.0,77.3,2021-04-01,Metropolitan
Apr-Jun 2021,Ballina,Northern NSW,District group 2,4615.0,66.3,2021-04-01,Regional
Apr-Jun 2021,Bankstown-Lidcombe,South Western Sydney,Principal referral,14061.0,62.7,2021-04-01,Metropolitan
Apr-Jun 2021,Batemans Bay,Southern NSW,District group 2,3557.0,65.6,2021-04-01,Regional
Apr-Jun 2021,Bathurst,Western NSW,District group 1,12507.0,81.3,2021-04-01,Regional
Apr-Jun 2021,Belmont,Hunter New England,District group 1,7678.0,64.2,2021-04-01,Regional
Apr-Jun 2021,Blacktown,Western Sydney,Major,14875.0,35.4,2021-04-01,Metropolitan
Apr-Jun 2021,Blue Mountains,Nepean Blue Mountains,District group 2,5159.0,78.9,2021-04-01,Metropolitan
Apr-Jun 2021,Bowral,South Western Sydney,District group 1,5872.0,82.8,2021-04-01,Metropolitan
Apr-Jun 2021,Broken Hill,Far West,District group 1,5591.0,57.7,2021-04-01,Regional
Apr-Jun 2021,Byron Central,Northern NSW,District group 2,5231.0,77.8,2021-04-01,Regional
Apr-Jun 2021,Calvary Mater,Hunter New England,Ungrouped acute - tertiary referral,10743.0,78.0,2021-04-01,Regional
Apr-Jun 2021,Campbelltown,South Western Sydney,Major,21682.0,79.9,2021-04-01,Metropolitan
Apr-Jun 2021,Canterbury,Sydney,Major,11877.0,69.0,2021-04-01,Metropolitan
Apr-Jun 2021,Casino,Northern NSW,District group 2,3168.0,69.6,2021-04-01,Regional
Apr-Jun 2021,Cessnock,Hunter New England,District group 2,4504.0,63.4,2021-04-01,Regional
Apr-Jun 2021,Children's at Westmead,Sydney Children's Hospitals Network,Paediatric specialist,17542.0,61.1,2021-04-01,Specialty network
Apr-Jun 2021,Coffs Harbour,Mid North Coast,Major,11368.0,64.1,2021-04-01,Regional
Apr-Jun 2021,Concord,Sydney,Principal referral,11185.0,63.4,2021-04-01,Metropolitan
Apr-Jun 2021,Cooma,Southern NSW,District group 2,2843.0,78.1,2021-04-01,Regional
Apr-Jun 2021,Cowra,Western NSW,District group 2,1999.0,92.5,2021-04-01,Regional
Apr-Jun 2021,Deniliquin,Murrumbidgee,District group 2,2272.0,97.8,2021-04-01,Regional
Apr-Jun 2021,Dubbo,Western NSW,Major,13622.0,70.2,2021-04-01,Regional
Apr-Jun 2021,Fairfield,South Western Sydney,Major,9292.0,71.1,2021-04-01,Metropolitan
Apr-Jun 2021,Forbes,Western NSW,District group 2,2165.0,84.8,2021-04-01,Regional
Apr-Jun 2021,Gosford,Central Coast,Principal referral,21565.0,51.0,2021-04-01,Metropolitan
Apr-Jun 2021,Goulburn,Southern NSW,District group 1,5104.0,57.6,2021-04-01,Regional
Apr-Jun 2021,Grafton,Northern NSW,District group 1,6732.0,72.8,2021-04-01,Regional
Apr-Jun 2021,Griffith,Murrumbidgee,District group 1,5396.0,81.1,2021-04-01,Regional
Apr-Jun 2021,Gunnedah,Hunter New England,District group 2,2464.0,74.5,2021-04-01,Regional
Apr-Jun 2021,Hawkesbury,Nepean Blue Mountains,District group 1,7360.0,66.3,2021-04-01,Metropolitan
Apr-Jun 2021,Hornsby,Northern Sydney,Major,11880.0,81.2,2021-04-01,Metropolitan
Apr-Jun 2021,Inverell,Hunter New England,District group 2,2660.0,82.0,2021-04-01,Regional
Apr-Jun 2021,John Hunter,Hunter New England,Principal referral,23456.0,67.4,2021-04-01,Regional
Apr-Jun 2021,Kempsey,Mid North Coast,District group 2,7574.0,67.2,2021-04-01,Regional
Apr-Jun 2021,Kurri Kurri,Hunter New England,District group 2,566.0,97.9,2021-04-01,Regional
Apr-Jun 2021,Lismore,Northern NSW,Major,10077.0,67.4,2021-04-01,Regional
Apr-Jun 2021,Lithgow,Nepean Blue Mountains,District group 2,3117.0,84.0,2021-04-01,Metropolitan
Apr-Jun 2021,Liverpool,South Western Sydney,Principal referral,22988.0,67.9,2021-04-01,Metropolitan
Apr-Jun 2021,Macksville,Mid North Coast,District group 2,3485.0,84.2,2021-04-01,Regional
Apr-Jun 2021,Maclean,Northern NSW,District group 2,3547.0,66.1,2021-04-01,Regional
Apr-Jun 2021,Maitland,Hunter New England,Major,13702.0,59.5,2021-04-01,Regional
Apr-Jun 2021,Manning,Hunter New England,Major,8987.0,80.9,2021-04-01,Regional
Apr-Jun 2021,Milton,Illawarra Shoalhaven,District group 2,3709.0,70.0,2021-04-01,Metropolitan
Apr-Jun 2021,Moree,Hunter New England,District group 2,2848.0,79.2,2021-04-01,Regional
Apr-Jun 2021,Moruya,Southern NSW,District group 2,2814.0,62.7,2021-04-01,Regional
Apr-Jun 2021,Mount Druitt,Western Sydney,District group 1,9747.0,55.1,2021-04-01,Metropolitan
Apr-Jun 2021,Mudgee,Western NSW,District group 2,3674.0,67.9,2021-04-01,Regional
Apr-Jun 2021,Murwillumbah,Northern NSW,District group 1,4398.0,86.3,2021-04-01,Regional
Apr-Jun 2021,Muswellbrook,Hunter New England,District group 2,3011.0,65.8,2021-04-01,Regional
Apr-Jun 2021,Narrabri,Hunter New England,District group 2,1324.0,89.8,2021-04-01,Regional
Apr-Jun 2021,Nepean,Nepean Blue Mountains,Principal referral,19481.0,49.5,2021-04-01,Metropolitan
Apr-Jun 2021,Northern Beaches,Northern Sydney,Major,28030.0,81.1,2021-04-01,Metropolitan
Apr-Jun 2021,Orange,Western NSW,Major,8779.0,76.7,2021-04-01,Regional
Apr-Jun 2021,Port Macquarie,Mid North Coast,Major,12484.0,61.4,2021-04-01,Regional
Apr-Jun 2021,Prince of Wales,South Eastern Sydney,Principal referral,15510.0,64.9,2021-04-01,Metropolitan
Apr-Jun 2021,Queanbeyan,Southern NSW,District group 2,6427.0,85.7,2021-04-01,Regional
Apr-Jun 2021,Royal North Shore,Northern Sydney,Principal referral,22540.0,67.4,2021-04-01,Metropolitan
Apr-Jun 2021,Royal Prince Alfred,Sydney,Principal referral,21576.0,58.3,2021-04-01,Metropolitan
Apr-Jun 2021,Ryde,Northern Sydney,District group 1,7644.0,78.8,2021-04-01,Metropolitan
Apr-Jun 2021,Shellharbour,Illawarra Shoalhaven,District group 1,9118.0,68.6,2021-04-01,Metropolitan
Apr-Jun 2021,Shoalhaven,Illawarra Shoalhaven,Major,10846.0,60.1,2021-04-01,Metropolitan
Apr-Jun 2021,Singleton,Hunter New England,District group 2,3934.0,73.1,2021-04-01,Regional
Apr-Jun 2021,South East Regional,Southern NSW,District group 1,5357.0,58.8,2021-04-01,Regional
Apr-Jun 2021,St George,South Eastern Sydney,Principal referral,21498.0,52.4,2021-04-01,Metropolitan
Apr-Jun 2021,St Vincent's,St Vincent's Health Network,Principal referral,12356.0,69.8,2021-04-01,Specialty network
Apr-Jun 2021,Sutherland,South Eastern Sydney,Major,16850.0,58.2,2021-04-01,Metropolitan
Apr-Jun 2021,Sydney Children's Randwick,Sydney Children's Hospitals Network,Paediatric specialist,11222.0,49.1,2021-04-01,Specialty network
Apr-Jun 2021,Sydney and Sydney Eye,South Eastern Sydney,Ungrouped acute - tertiary referral,6939.0,82.8,2021-04-01,Metropolitan
Apr-Jun 2021,Tamworth,Hunter New England,Major,11727.0,52.0,2021-04-01,Regional
Apr-Jun 2021,Tweed Valley,Northern NSW,Major,13560.0,71.8,2021-04-01,Regional
Apr-Jun 2021,Wagga Wagga,Murrumbidgee,Major,12131.0,78.6,2021-04-01,Regional
Apr-Jun 2021,Westmead,Western Sydney,Principal referral,19502.0,35.9,2021-04-01,Metropolitan
Apr-Jun 2021,Wollongong,Illawarra Shoalhaven,Principal referral,19405.0,66.2,2021-04-01,Metropolitan
Apr-Jun 2021,Wyong,Central Coast,Major,18769.0,51.7,2021-04-01,Metropolitan
Apr-Jun 2021,Young,Murrumbidgee,District group 2,1983.0,95.3,2021-04-01,Regional
Apr-Jun 2022,Armidale,Hunter New England,District group 1,4783.0,49.3,2022-04-01,Regional
Apr-Jun 2022,Auburn,Western Sydney,Major,8074.0,67.7,2022-04-01,Metropolitan
Apr-Jun 2022,Ballina,Northern NSW,District group 2,4697.0,63.6,2022-04-01,Regional
Apr-Jun 2022,Bankstown-Lidcombe,South Western Sydney,Principal referral,15121.0,52.5,2022-04-01,Metropolitan
Apr-Jun 2022,Batemans Bay,Southern NSW,District group 2,3176.0,73.8,2022-04-01,Regional
Apr-Jun 2022,Bathurst,Western NSW,District group 1,6956.0,74.8,2022-04-01,Regional
Apr-Jun 2022,Belmont,Hunter New England,District group 1,7528.0,61.5,2022-04-01,Regional
Apr-Jun 2022,Blacktown,Western Sydney,Major,15466.0,26.2,2022-04-01,Metropolitan
Apr-Jun 2022,Blue Mountains,Nepean Blue Mountains,District group 2,5203.0,57.3,2022-04-01,Metropolitan
Apr-Jun 2022,Bowral,South Western Sydney,District group 1,6142.0,85.0,2022-04-01,Metropolitan
Apr-Jun 2022,Broken Hill,Far West,District group 1,4980.0,73.5,2022-04-01,Regional
Apr-Jun 2022,Byron Central,Northern NSW,District group 2,5515.0,88.0,2022-04-01,Regional
Apr-Jun 2022,Calvary Mater,Hunter New England,Ungrouped acute - tertiary referral,10094.0,77.6,2022-04-01,Regional
Apr-Jun 2022,Campbelltown,South Western Sydney,Major,23378.0,70.4,2022-04-01,Metropolitan
Apr-Jun 2022,Canterbury,Sydney,Major,12735.0,68.9,2022-04-01,Metropolitan
Apr-Jun 2022,Casino,Northern NSW,District group 2,3736.0,53.8,2022-04-01,Regional
Apr-Jun 2022,Cessnock,Hunter New England,District group 2,4505.0,62.0,2022-04-01,Regional
Apr-Jun 2022,Children's at Westmead,Sydney Children's Hospitals Network,Paediatric specialist,18696.0,54.7,2022-04-01,Specialty network
Apr-Jun 2022,Coffs Harbour,Mid North Coast,Major,11507.0,60.2,2022-04-01,Regional
Apr-Jun 2022,Concord,Sydney,Principal referral,10598.0,82.6,2022-04-01,Metropolitan
Apr-Jun 2022,Cooma,Southern NSW,District group 2,2814.0,88.7,2022-04-01,Regional
Apr-Jun 2022,Cowra,Western NSW,District group 2,2219.0,92.9,2022-04-01,Regional
Apr-Jun 2022,Deniliquin,Murrumbidgee,District group 2,2596.0,98.6,2022-04-01,Regional
Apr-Jun 2022,Dubbo,Western NSW,Major,10304.0,81.6,2022-04-01,Regional
Apr-Jun 2022,Fairfield,South Western Sydney,Major,10002.0,68.5,2022-04-01,Metropolitan
Apr-Jun 2022,Forbes,Western NSW,District group 2,2035.0,89.1,2022-04-01,Regional
Apr-Jun 2022,Gosford,Central Coast,Principal referral,21079.0,38.2,2022-04-01,Metropolitan
Apr-Jun 2022,Goulburn,Southern NSW,District group 1,5249.0,57.3,2022-04-01,Regional
Apr-Jun 2022,Grafton,Northern NSW,District group 1,6911.0,64.7,2022-04-01,Regional
Apr-Jun 2022,Griffith,Murrumbidgee,District group 1,6053.0,73.3,2022-04-01,Regional
Apr-Jun 2022,Gunnedah,Hunter New England,District group 2,2247.0,99.4,2022-04-01,Regional
Apr-Jun 2022,Hawkesbury,Nepean Blue Mountains,District group 1,7857.0,60.5,2022-04-01,Metropolitan
Apr-Jun 2022,Hornsby,Northern Sydney,Major,12194.0,74.5,2022-04-01,Metropolitan
Apr-Jun 2022,Inverell,Hunter New England,District group 2,2420.0,76.6,2022-04-01,Regional
Apr-Jun 2022,John Hunter,Hunter New England,Principal referral,22851.0,59.7,2022-04-01,Regional
Apr-Jun 2022,Kempsey,Mid North Coast,District group 2,6877.0,70.7,2022-04-01,Regional
Apr-Jun 2022,Kurri Kurri,Hunter New England,District group 2,537.0,96.6,2022-04-01,Regional
Apr-Jun 2022,Lismore,Northern NSW,Major,9524.0,57.6,2022-04-01,Regional
Apr-Jun 2022,Lithgow,Nepean Blue Mountains,District group 2,3141.0,77.3,2022-04-01,Metropolitan
Apr-Jun 2022,Liverpool,South Western Sydney,Principal referral,23392.0,63.3,2022-04-01,Metropolitan
Apr-Jun 2022,Macksville,Mid North Coast,District group 2,3382.0,84.7,2022-04-01,Regional
Apr-Jun 2022,Maclean,Northern NSW,District group 2,3993.0,81.0,2022-04-01,Regional
Apr-Jun 2022,Maitland,Hunter New England,Major,14241.0,43.3,2022-04-01,Regional
Apr-Jun 2022,Manning,Hunter New England,Major,8774.0,63.0,2022-04-01,Regional
Apr-Jun 2022,Milton,Illawarra Shoalhaven,District group 2,3788.0,77.9,2022-04-01,Metropolitan
Apr-Jun 2022,Moree,Hunter New England,District group 2,2844.0,69.0,2022-04-01,Regional
Apr-Jun 2022,Moruya,Southern NSW,District group 2,2813.0,67.0,2022-04-01,Regional
Apr-Jun 2022,Mount Druitt,Western Sydney,District group 1,10784.0,39.1,2022-04-01,Metropolitan
Apr-Jun 2022,Mudgee,Western NSW,District group 2,3705.0,70.2,2022-04-01,Regional
Apr-Jun 2022,Murwillumbah,Northern NSW,District group 1,4379.0,74.5,2022-04-01,Regional
Apr-Jun 2022,Muswellbrook,Hunter New England,District group 2,3210.0,67.3,2022-04-01,Regional
Apr-Jun 2022,Narrabri,Hunter New England,District group 2,1487.0,89.0,2022-04-01,Regional
Apr-Jun 2022,Nepean,Nepean Blue Mountains,Principal referral,19237.0,39.3,2022-04-01,Metropolitan
Apr-Jun 2022,Northern Beaches,Northern Sydney,Major,17896.0,74.8,2022-04-01,Metropolitan
Apr-Jun 2022,Orange,Western NSW,Major,8380.0,69.9,2022-04-01,Regional
Apr-Jun 2022,Port Macquarie,Mid North Coast,Major,13047.0,67.1,2022-04-01,Regional
Apr-Jun 2022,Prince of Wales,South Eastern Sydney,Principal referral,15283.0,52.7,2022-04-01,Metropolitan
Apr-Jun 2022,Queanbeyan,Southern NSW,District group 2,6635.0,81.2,2022-04-01,Regional
Apr-Jun 2022,Royal North Shore,Northern Sydney,Principal referral,21674.0,66.8,2022-04-01,Metropolitan
Apr-Jun 2022,Royal Prince Alfred,Sydney,Principal referral,22082.0,60.8,2022-04-01,Metropolitan
Apr-Jun 2022,Ryde,Northern Sydney,District group 1,7528.0,81.5,2022-04-01,Metropolitan
Apr-Jun 2022,Shellharbour,Illawarra Shoalhaven,District group 1,9652.0,50.3,2022-04-01,Metropolitan
Apr-Jun 2022,Shoalhaven,Illawarra Shoalhaven,Major,10483.0,46.3,2022-04-01,Metropolitan
Apr-Jun 2022,Singleton,Hunter New England,District group 2,4552.0,79.8,2022-04-01,Regional
Apr-Jun 2022,South East Regional,Southern NSW,District group 1,5329.0,67.3,2022-04-01,Regional
Apr-Jun 2022,St George,South Eastern Sydney,Principal referral,21785.0,44.1,2022-04-01,Metropolitan
Apr-Jun 2022,St Vincent's,St Vincent's Health Network,Principal referral,12723.0,66.6,2022-04-01,Specialty network
Apr-Jun 2022,Sutherland,South Eastern Sydney,Major,17318.0,49.8,2022-04-01,Metropolitan
Apr-Jun 2022,Sydney Children's Randwick,Sydney Children's Hospitals Network,Paediatric specialist,11573.0,37.3,2022-04-01,Specialty network
Apr-Jun 2022,Sydney and Sydney Eye,South Eastern Sydney,Ungrouped acute - tertiary referral,7126.0,74.6,2022-04-01,Metropolitan
Apr-Jun 2022,Tamworth,Hunter New England,Major,10843.0,58.0,2022-04-01,Regional
Apr-Jun 2022,Tweed Valley,Northern NSW,Major,14139.0,70.7,2022-04-01,Regional
Apr-Jun 2022,Wagga Wagga,Murrumbidgee,Major,11928.0,66.8,2022-04-01,Regional
Apr-Jun 2022,Westmead,Western Sydney,Principal referral,18877.0,40.4,2022-04-01,Metropolitan
Apr-Jun 2022,Wollongong,Illawarra Shoalhaven,Principal referral,19884.0,60.4,2022-04-01,Metropolitan
Apr-Jun 2022,Wyong,Central Coast,Major,19703.0,42.4,2022-04-01,Metropolitan
Apr-Jun 2022,Young,Murrumbidgee,District group 2,2095.0,92.7,2022-04-01,Regional
Apr-Jun 2023,Armidale,Hunter New England,District group 1,5088.0,63.0,2023-04-01,Regional
Apr-Jun 2023,Auburn,Western Sydney,Major,8352.0,70.6,2023-04-01,Metropolitan
Apr-Jun 2023,Ballina,Northern NSW,District group 2,4441.0,70.8,2023-04-01,Regional
Apr-Jun 2023,Bankstown-Lidcombe,South Western Sydney,Principal referral,14217.0,65.6,2023-04-01,Metropolitan
Apr-Jun 2023,Batemans Bay,Southern NSW,District group 2,3410.0,83.7,2023-04-01,Regional
Apr-Jun 2023,Bathurst,Western NSW,District group 1,6606.0,83.0,2023-04-01,Regional
Apr-Jun 2023,Belmont,Hunter New England,District group 1,7360.0,74.6,2023-04-01,Regional
Apr-Jun 2023,Blacktown,Western Sydney,Major,15392.0,30.4,2023-04-01,Metropolitan
Apr-Jun 2023,Blue Mountains,Nepean Blue Mountains,District group 2,5005.0,62.0,2023-04-01,Metropolitan
Apr-Jun 2023,Bowral,South Western Sydney,District group 1,6006.0,88.8,2023-04-01,Metropolitan
Apr-Jun 2023,Broken Hill,Far West,District group 1,5005.0,71.6,2023-04-01,Regional
Apr-Jun 2023,Byron Central,Northern NSW,District group 2,5301.0,85.5,2023-04-01,Regional
Apr-Jun 2023,Calvary Mater,Hunter New England,Ungrouped acute - tertiary referral,9867.0,80.0,2023-04-01,Regional
Apr-Jun 2023,Campbelltown,South Western Sydney,Major,22042.0,60.2,2023-04-01,Metropolitan
Apr-Jun 2023,Canterbury,Sydney,Major,11954.0,37.2,2023-04-01,Metropolitan
Apr-Jun 2023,Casino,Northern NSW,District group 2,3539.0,68.6,2023-04-01,Regional
Apr-Jun 2023,Cessnock,Hunter New England,District group 2,4181.0,75.1,2023-04-01,Regional
Apr-Jun 2023,Children's at Westmead,Sydney Children's Hospitals Network,Paediatric specialist,16798.0,68.0,2023-04-01,Specialty network
Apr-Jun 2023,Coffs Harbour,Mid North Coast,Major,11395.0,57.3,2023-04-01,Regional
Apr-Jun 2023,Concord,Sydney,Principal referral,10783.0,76.6,2023-04-01,Metropolitan
Apr-Jun 2023,Cooma,Southern NSW,District group 2,2822.0,87.8,2023-04-01,Regional
Apr-Jun 2023,Cowra,Western NSW,District group 2,2217.0,88.5,2023-04-01,Regional
Apr-Jun 2023,Deniliquin,Murrumbidgee,District group 2,2780.0,97.2,2023-04-01,Regional
Apr-Jun 2023,Dubbo,Western NSW,Major,10051.0,73.9,2023-04-01,Regional
Apr-Jun 2023,Fairfield,South Western Sydney,Major,9762.0,57.3,2023-04-01,Metropolitan
Apr-Jun 2023,Forbes,Western NSW,District group 2,2232.0,84.3,2023-04-01,Regional
Apr-Jun 2023,Gosford,Central Coast,Principal referral,19291.0,55.3,2023-04-01,Metropolitan
Apr-Jun 2023,Goulburn,Southern NSW,District group 1,5357.0,62.6,2023-04-01,Regional
Apr-Jun 2023,Grafton,Northern NSW,District group 1,6942.0,63.2,2023-04-01,Regional
Apr-Jun 2023,Griffith,Murrumbidgee,District group 1,5992.0,79.1,2023-04-01,Regional
Apr-Jun 2023,Gunnedah,Hunter New England,District group 2,1953.0,82.0,2023-04-01,Regional
Apr-Jun 2023,Hawkesbury,Nepean Blue Mountains,District group 1,7832.0,56.0,2023-04-01,Metropolitan
Apr-Jun 2023,Hornsby,Northern Sydney,Major,12084.0,83.4,2023-04-01,Metropolitan
Apr-Jun 2023,Inverell,Hunter New England,District group 2,2345.0,86.2,2023-04-01,Regional
Apr-Jun 2023,John Hunter,Hunter New England,Principal referral,21170.0,62.9,2023-04-01,Regional
Apr-Jun 2023,Kempsey,Mid North Coast,District group 2,6426.0,76.2,2023-04-01,Regional
Apr-Jun 2023,Kurri Kurri,Hunter New England,District group 2,746.0,94.3,2023-04-01,Regional
Apr-Jun 2023,Lismore,Northern NSW,Major,9934.0,56.1,2023-04-01,Regional
Apr-Jun 2023,Lithgow,Nepean Blue Mountains,District group 2,3112.0,76.9,2023-04-01,Metropolitan
Apr-Jun 2023,Liverpool,South Western Sydney,Principal referral,21306.0,50.8,2023-04-01,Metropolitan
Apr-Jun 2023,Macksville,Mid North Coast,District group 2,3554.0,85.8,2023-04-01,Regional
Apr-Jun 2023,Maclean,Northern NSW,District group 2,3732.0,81.1,2023-04-01,Regional
Apr-Jun 2023,Maitland,Hunter New England,Major,13459.0,53.0,2023-04-01,Regional
Apr-Jun 2023,Manning,Hunter New England,Major,9116.0,56.8,2023-04-01,Regional
Apr-Jun 2023,Milton,Illawarra Shoalhaven,District group 2,3725.0,75.0,2023-04-01,Metropolitan
Apr-Jun 2023,Moree,Hunter New England,District group 2,2659.0,61.9,2023-04-01,Regional
Apr-Jun 2023,Moruya,Southern NSW,District group 2,3055.0,85.9,2023-04-01,Regional
Apr-Jun 2023,Mount Druitt,Western Sydney,District group 1,10038.0,46.7,2023-04-01,Metropolitan
Apr-Jun 2023,Mudgee,Western NSW,District group 2,3773.0,72.4,2023-04-01,Regional
Apr-Jun 2023,Murwillumbah,Northern NSW,District group 1,4749.0,84.2,2023-04-01,Regional
Apr-Jun 2023,Muswellbrook,Hunter New England,District group 2,2871.0,68.8,2023-04-01,Regional
Apr-Jun 2023,Narrabri,Hunter New England,District group 2,1652.0,89.0,2023-04-01,Regional
Apr-Jun 2023,Nepean,Nepean Blue Mountains,Principal referral,20015.0,56.5,2023-04-01,Metropolitan
Apr-Jun 2023,Northern Beaches,Northern Sydney,Major,16388.0,76.9,2023-04-01,Metropolitan
Apr-Jun 2023,Orange,Western NSW,Major,8230.0,78.2,2023-04-01,Regional
Apr-Jun 2023,Port Macquarie,Mid North Coast,Major,12128.0,66.8,2023-04-01,Regional
Apr-Jun 2023,Prince of Wales,South Eastern Sydney,Principal referral,14871.0,54.6,2023-04-01,Metropolitan
Apr-Jun 2023,Queanbeyan,Southern NSW,District group 2,6592.0,81.0,2023-04-01,Regional
Apr-Jun 2023,Royal North Shore,Northern Sydney,Principal referral,21428.0,80.9,2023-04-01,Metropolitan
Apr-Jun 2023,Royal Prince Alfred,Sydney,Principal referral,20499.0,57.3,2023-04-01,Metropolitan
Apr-Jun 2023,Ryde,Northern Sydney,District group 1,7303.0,85.9,2023-04-01,Metropolitan
Apr-Jun 2023,Shellharbour,Illawarra Shoalhaven,District group 1,9380.0,60.9,2023-04-01,Metropolitan
Apr-Jun 2023,Shoalhaven,Illawarra Shoalhaven,Major,10017.0,55.2,2023-04-01,Metropolitan
Apr-Jun 2023,Singleton,Hunter New England,District group 2,4452.0,72.6,2023-04-01,Regional
Apr-Jun 2023,South East Regional,Southern NSW,District group 1,5305.0,79.3,2023-04-01,Regional
Apr-Jun 2023,St George,South Eastern Sydney,Principal referral,20282.0,42.9,2023-04-01,Metropolitan
Apr-Jun 2023,St Vincent's,St Vincent's Health Network,Principal referral,12489.0,72.2,2023-04-01,Specialty network
